Results:
-5739	1863	3915	-7764	607	3322	-10393	16949	14172	-1261	
-3077	4876	-1624	1568	2525	-421	6731	-3775	14268	8129	
-10519	16476	-8304	15985	1009	7761	1181	-90	2924	17310	
-13559	1280	5513	-16124	13608	-18470	-3507	-6980	-15324	-29697	
-1913	3869	20839	-22189	-840	-18190	6615	3254	-3909	789	
-9068	4509	1960	-5888	761	15543	-10635	-1324	17111	-14211	
-3819	16818	2166	12090	-2214	5671	8211	2338	6776	27303	
11284	-7683	15480	-10877	643	-4155	3011	7455	-3935	-4694	
-15828	13370	8146	-13330	-11666	-4421	423	4127	-7879	-8478	
-15819	5163	1496	1327	5623	-1639	13547	2426	-4340	7293	
